main_activity,clustered,tilt_subsector
retailer,beauty,Agriculture & Livestock
retailer,gearbox,Automotive LDV
retailer,steel wire rope,Machinery & Equipment
retailer,elevator balance chain,Machinery & Equipment
retailer,goods lifting equipment parts,Machinery & Equipment
retailer,goods liftings equipment accessories,Machinery & Equipment
retailer,mobility scooters,Other Transport
retailer,authorised service department,Automotive LDV
retailer,removal of noxious material,no_match
retailer,graphic work,Other Industry
retailer,aluminium railing,Construction Residential
retailer,open-plan staircase,Construction Residential
retailer,staircase with wooden hand rail,Construction Residential
retailer,ice skating equipment,Machinery & Equipment
retailer,ice skating gear,Machinery & Equipment
retailer,ice skates,Machinery & Equipment
retailer,skating rinks,Machinery & Equipment
retailer,poultry equipment,Machinery & Equipment
retailer,bird decoys,Agriculture & Livestock
retailer,accessories for hunters,Agriculture & Livestock
agent/ representative,access control equipment,Construction Buildings
agent/ representative,access control system,Construction Buildings
agent/ representative,accessories,Automotive LDV
agent/ representative,accessories for sailing boats,Shipping
agent/ representative,acid oil,Food Related Products
agent/ representative,advice on buying real estate,Other Metals
agent/ representative,advice on selling real estate,Other Transport
agent/ representative,advice$evaluation of current conditions$free quotes,Other Transport
agent/ representative,affiliate marketing agency,Total Energy
agent/ representative,agents,Agriculture & Livestock
agent/ representative,agricultural accessories,Machinery & Equipment
agent/ representative,agricultural equipment,Construction Residential
agent/ representative,agricultural machines,Machinery & Equipment
agent/ representative,agricultural products,Agriculture & Livestock
agent/ representative,agriculture,Agriculture & Livestock
agent/ representative,air filters,Shipping
agent/ representative,"airlines, passenger services",Other Transport
agent/ representative,al products,Food Related Products
agent/ representative,alabaster for construction work,Other Non-metallic Minerals
agent/ representative,amber,Food Related Products
agent/ representative,aprons for cooks,Food Related Products
agent/ representative,auto parts,Construction Residential
agent/ representative,automatic devices for car parks,Construction Buildings
agent/ representative,automatic retractable bollard,Construction Buildings
agent/ representative,automobile dealer,Automotive LDV
agent/ representative,automobile junkyard,Automotive HDV
agent/ representative,autopilot,Shipping
agent/ representative,bakery ovens,Machinery & Equipment
agent/ representative,ball bearing,Construction Residential
agent/ representative,bar,Iron & Steel
agent/ representative,bar equipment,Food Related Products
agent/ representative,bardan autohandel gmbh,Automotive LDV
agent/ representative,bars machinery,Machinery & Equipment
agent/ representative,"bases, inorganic",Agriculture & Livestock
agent/ representative,"bead, wooden",Agriculture & Livestock
agent/ representative,beauty articles,Other Industry
agent/ representative,beauty slimming - fitness health,Food Related Products
agent/ representative,beauty supplies,Other Industry
agent/ representative,beverage additives,Food Related Products
agent/ representative,beverages retail,Food Related Products
agent/ representative,beverages wholesale,Food Related Products
agent/ representative,bidet seats,Construction Residential
agent/ representative,biodynamic agriculture,Agriculture & Livestock
agent/ representative,boat accessory,Shipping
agent/ representative,bottom pressure vessels,Other Transport
agent/ representative,broker,Food Related Products
agent/ representative,bulk used clothes,Other Transport
agent/ representative,bus lines,Other Transport
agent/ representative,bus rental,Other Transport
agent/ representative,business transactions,Shipping
agent/ representative,business travel,Other Transport
agent/ representative,buy car,Automotive LDV
agent/ representative,buying,Machinery & Equipment
agent/ representative,by-products,Total Energy
agent/ representative,cafés equipment,Food Related Products
agent/ representative,cafés machinery,Machinery & Equipment
agent/ representative,camping accessories,Other Transport
agent/ representative,canned food,Food Related Products
agent/ representative,canned vegetable,Food Related Products
agent/ representative,car,Automotive LDV
agent/ representative,car bodyshop,Automotive LDV
agent/ representative,car breakers,Automotive HDV
agent/ representative,car component,Automotive LDV
agent/ representative,car dealer,Automotive LDV
agent/ representative,car dealership,Automotive LDV
agent/ representative,car deodorant,Automotive HDV
agent/ representative,car filters,Machinery & Equipment
agent/ representative,car hire for functions,Other Transport
agent/ representative,car insurance,Automotive HDV
agent/ representative,car park,Construction Buildings
agent/ representative,car parts,Automotive HDV
agent/ representative,car rental,Automotive HDV
agent/ representative,car rental in marbella barcelona car rental with driver in marbella,Other Transport
agent/ representative,car rental with driver marbella malacca tour guide,Other Transport
agent/ representative,car spare part,Automotive HDV
agent/ representative,car workshop,Automotive LDV
agent/ representative,caravans,Automotive LDV
agent/ representative,"cars, electrical parts",Automotive LDV
agent/ representative,cattle food supplements,Agriculture & Livestock
agent/ representative,central purchasing office,Oil Energy
agent/ representative,ceramics for coatings,Construction Buildings
agent/ representative,cereals and grains,Food Related Products
agent/ representative,charter boat rental,Shipping
agent/ representative,chocolate,Food Related Products
agent/ representative,"chocolates, filled",Food Related Products
agent/ representative,clothing,Fishing & Forestry
agent/ representative,coach,Machinery & Equipment
agent/ representative,coach rental,Other Transport
agent/ representative,coaches with toilet,Machinery & Equipment
agent/ representative,coir geotextiles,Construction Residential
agent/ representative,coke,Agriculture & Livestock
agent/ representative,commercial activities,Food Related Products
agent/ representative,commercial intermediate,Oil Energy
agent/ representative,commercial representation service,Other Industry
agent/ representative,components for industrial equipment,Machinery & Equipment
agent/ representative,"compounds, inorganic",Agriculture & Livestock
agent/ representative,condiments,Food Related Products
agent/ representative,construction,Construction Buildings
agent/ representative,construction machinery,Machinery & Equipment
agent/ representative,consulting,Total Energy
agent/ representative,controls for marine equipment,Shipping
agent/ representative,cooks,Food Related Products
agent/ representative,cosmetic,Other Industry
agent/ representative,cricket protein bar,Agriculture & Livestock
agent/ representative,"crockery, porcelain",Construction Buildings
agent/ representative,crystalware gifts,Construction Buildings
agent/ representative,customised beauty accessories,Food Related Products
agent/ representative,cut diamonds,A: Other Metals
agent/ representative,cynlindrical tanks,Machinery & Equipment
agent/ representative,"date, organic",Food Related Products
agent/ representative,deep-freezing equipment,Food Related Products
agent/ representative,deep-freezing systems,Food Related Products
agent/ representative,deli meats,Food Related Products
agent/ representative,deutsche occasion,Automotive HDV
agent/ representative,deutsche occasion avis,Automotive HDV
agent/ representative,deutsche occasion voitures,Automotive HDV
agent/ representative,diamonds,A: Other Metals
agent/ representative,diamonds bought,A: Other Metals
agent/ representative,diamonds sold,A: Other Metals
agent/ representative,diesel engines for farm machinery,Shipping
agent/ representative,disposable medical articles,Construction Residential
agent/ representative,disposable surgical articles,Construction Residential
agent/ representative,distribution in portugal,Gas Energy
agent/ representative,distribution in spanish territory,Gas Energy
agent/ representative,dressed pork factory products,Food Related Products
agent/ representative,driver in marbella$driver in barcelona$driver in madrid,Other Transport
agent/ representative,early wine,Food Related Products
agent/ representative,egg powder products,Food Related Products
agent/ representative,egg whites,Food Related Products
agent/ representative,"egg yolks, dried",Food Related Products
agent/ representative,electric car,Automotive LDV
agent/ representative,electric cars for amusement parks,Automotive LDV
agent/ representative,endurance bikes,Automotive LDV
agent/ representative,equipment for drying car paints,Automotive HDV
agent/ representative,"essences, nonfood",Agriculture & Livestock
agent/ representative,euro car,Automotive LDV
agent/ representative,excursion breaks,Machinery & Equipment
agent/ representative,exhaust fans for car washes,Automotive HDV
agent/ representative,exhibitions organisation,Machinery & Equipment
agent/ representative,export,Total Power
agent/ representative,export milk powder,Agriculture & Livestock
agent/ representative,export planning,Food Related Products
agent/ representative,export pulses,Agriculture & Livestock
agent/ representative,export service,Total Power
agent/ representative,export vegetable,Agriculture & Livestock
agent/ representative,extract,Food Related Products
agent/ representative,extracts food supplements drinks bakery nutraceuticals,Food Related Products
agent/ representative,farming machinery manufacturer,Agriculture & Livestock
agent/ representative,fine wines,Food Related Products
agent/ representative,floristry,Agriculture & Livestock
agent/ representative,flour milling equipment,Machinery & Equipment
agent/ representative,flour milling machinery,Machinery & Equipment
agent/ representative,food,Food Related Products
agent/ representative,food additives,Food Related Products
agent/ representative,food industry,Food Related Products
agent/ representative,food industry equipment,Machinery & Equipment
agent/ representative,food industry machines,Machinery & Equipment
agent/ representative,food industry packaging machinery,Machinery & Equipment
agent/ representative,food processing,Food Related Products
agent/ representative,food product agents,Food Related Products
agent/ representative,food product representatives,Food Related Products
agent/ representative,"food products, ethnic,",Food Related Products
agent/ representative,"food products, oriental",Food Related Products
agent/ representative,food retail,Food Related Products
agent/ representative,food specialities,Food Related Products
agent/ representative,food supplement,Food Related Products
agent/ representative,"foods, health",Food Related Products
agent/ representative,"foods, precooked",Food Related Products
agent/ representative,"fragrances, nonfood",Food Related Products
agent/ representative,freezing equipment,Food Related Products
agent/ representative,freezing systems,Food Related Products
agent/ representative,freezing tunnels,Food Related Products
agent/ representative,fresh fruit,Agriculture & Livestock
agent/ representative,freshly squeezed orange juice,Agriculture & Livestock
agent/ representative,friction couplings,Construction Residential
agent/ representative,frozen egg products,Food Related Products
agent/ representative,frozen egg products for institutional catering,Food Related Products
agent/ representative,frozen fish export,Food Related Products
agent/ representative,frozen pork,Agriculture & Livestock
agent/ representative,fruit,Food Related Products
agent/ representative,fruit export,Agriculture & Livestock
agent/ representative,fruit juices,Agriculture & Livestock
agent/ representative,fruit preserves,Agriculture & Livestock
agent/ representative,fruit squeezers,Machinery & Equipment
agent/ representative,fruit trade,Agriculture & Livestock
agent/ representative,fruits import export,Agriculture & Livestock
agent/ representative,fuel filling,Oil Energy
agent/ representative,furnishing,Shipping
agent/ representative,galvanization,Iron & Steel
agent/ representative,gastronomic specialties,Food Related Products
agent/ representative,glass bending,Construction Residential
agent/ representative,glass bottle,Construction Residential
agent/ representative,glass jars,Construction Residential
agent/ representative,glass tableware,Construction Buildings
agent/ representative,gold bars,Other Metals
agent/ representative,gold for goldsmiths,Other Metals
agent/ representative,gold refinery,Other Metals
agent/ representative,goldreedpro,Other Industry
agent/ representative,gourmet foods,Food Related Products
agent/ representative,grain,Agriculture & Livestock
agent/ representative,graphite electrodes,Iron & Steel
agent/ representative,greenhouse plant,Agriculture & Livestock
agent/ representative,group tour organisation,Machinery & Equipment
agent/ representative,group travel,Other Transport
agent/ representative,ham,Food Related Products
agent/ representative,harbour design,Shipping
agent/ representative,hardware for furniture,Construction Residential
agent/ representative,health insurance,A: Agriculture & Livest
agent/ representative,heinzmann,Automotive LDV
agent/ representative,heliographs,Construction Buildings
agent/ representative,home-made beer,Food Related Products
agent/ representative,honey,Agriculture & Livestock
agent/ representative,hotel equipment,Machinery & Equipment
agent/ representative,hotels machinery,Machinery & Equipment
agent/ representative,houseboats,Construction Buildings
agent/ representative,immune system enhancer,Food Related Products
agent/ representative,import,Oil Energy
agent/ representative,import export agents,Other Transport
agent/ representative,import pulses,Agriculture & Livestock
agent/ representative,import service,Oil Energy
agent/ representative,import-export assistance,Oil Energy
agent/ representative,import-export energy,Total Energy
agent/ representative,import-export raw materials,Total Energy
agent/ representative,indoor plants,Agriculture & Livestock
agent/ representative,industrial chemicals pigments solvents caustic soda tdi,A: Agriculture & Livestock
agent/ representative,"industrial equipment, parts",Machinery & Equipment
agent/ representative,industrial freezing equipment,Other Industry
agent/ representative,industry cleaner,Agriculture & Livestock
agent/ representative,inflatable dinghy,Shipping
agent/ representative,instruments for marine equipment,Shipping
agent/ representative,insurance,Automotive HDV
agent/ representative,insurance agents,Automotive HDV
agent/ representative,insurance for accidents,A: Agriculture & Livestock
agent/ representative,intermediation,Construction Buildings
agent/ representative,international trade,Iron & Steel
agent/ representative,international trade consultants,Construction Residential
agent/ representative,international travel,Other Transport
agent/ representative,irrigation systems,Machinery & Equipment
agent/ representative,it services,Other Industry
agent/ representative,it solutions,Other Industry
agent/ representative,italian cherries,Food Related Products
agent/ representative,italian food,Food Related Products
agent/ representative,italian wine,A: Agriculture & Livestock
agent/ representative,jet fuel,Oil Energy
agent/ representative,leasing,Other Transport
agent/ representative,liquid egg yolk,Food Related Products
agent/ representative,liquorice,Food Related Products
agent/ representative,lorries,Machinery & Equipment
agent/ representative,lotus diamonds,A: Other Metals
agent/ representative,machine,Gas Energy
agent/ representative,machine shop,Automotive HDV
agent/ representative,maintenance of speeds regulators,Shipping
agent/ representative,mandate,Oil Energy
agent/ representative,manufacturers agents,Agriculture & Livestock
agent/ representative,manufacturers representatives,Agriculture & Livestock
agent/ representative,margarine,Food Related Products
agent/ representative,marine charts,Shipping
agent/ representative,marine surveyor,Shipping
agent/ representative,maritime freight,Shipping
agent/ representative,marketing,Agriculture & Livestock
agent/ representative,meat choppers,Machinery & Equipment
agent/ representative,meat grinders,Machinery & Equipment
agent/ representative,mechanical engineering,Other Industry
agent/ representative,medicinal herb,Agriculture & Livestock
agent/ representative,metal,Iron & Steel
agent/ representative,metal container,Other Metals
agent/ representative,motor-boats,Shipping
agent/ representative,motorboat hire,Shipping
agent/ representative,motorboats,Shipping
agent/ representative,motorcycle accessories,Automotive LDV
agent/ representative,motorcycle helmets,Machinery & Equipment
agent/ representative,multipurpose grease,Shipping
agent/ representative,mycorrhiza,Agriculture & Livestock
agent/ representative,nuts,Food Related Products
agent/ representative,oil,Oil Energy
agent/ representative,oil for food use,Food Related Products
agent/ representative,oil products,Total Energy
agent/ representative,on-line boutique,Construction Buildings
agent/ representative,one-way clutches,Construction Residential
agent/ representative,"ores, non-ferrous",Other Metals
agent/ representative,organic,Agriculture & Livestock
agent/ representative,organic farming,Agriculture & Livestock
agent/ representative,organic food,Agriculture & Livestock
agent/ representative,organic garlic,Food Related Products
agent/ representative,osenum,Food Related Products
agent/ representative,parallelpiped tanks,Machinery & Equipment
agent/ representative,parking lots - equipment,Construction Buildings
agent/ representative,parking meters,Construction Buildings
agent/ representative,pet food,Agriculture & Livestock
agent/ representative,petroleum additives,Oil Energy
agent/ representative,pharmaceutical intermediates vitamines antibiotics laxants,Agriculture & Livestock
agent/ representative,pharmaceuticals – import-export,Other Industry
agent/ representative,pistachio,Agriculture & Livestock
agent/ representative,plant engineering,Machinery & Equipment
agent/ representative,plants,Agriculture & Livestock
agent/ representative,plastic recycling equipment,Machinery & Equipment
agent/ representative,plates,Iron & Steel
agent/ representative,pleasure boat,Shipping
agent/ representative,"poles, concrete",Construction Buildings
agent/ representative,polyol pu cellulose ether,Agriculture & Livestock
agent/ representative,precision instruments,Gas Energy
agent/ representative,prefabricated chalets,Construction Buildings
agent/ representative,prefabricated cottages,Construction Residential
agent/ representative,prefabricated summerhouses,Construction Buildings
agent/ representative,preserved plants,Agriculture & Livestock
agent/ representative,profiles,Iron & Steel
agent/ representative,propagation houses - installations,Other Industry
agent/ representative,protein,Agriculture & Livestock
agent/ representative,protein bar,Agriculture & Livestock
agent/ representative,public works,Construction Buildings
agent/ representative,quality control,Total Power
agent/ representative,radar,Shipping
agent/ representative,radio navigation equipment,Shipping
agent/ representative,ready meal,Food Related Products
agent/ representative,real estate agency,Construction Buildings
agent/ representative,"real estate, business agencies",Machinery & Equipment
agent/ representative,"real estate, business developers",Machinery & Equipment
agent/ representative,"real estate, industrial agencies",Machinery & Equipment
agent/ representative,"real estate, industrial developers",Machinery & Equipment
agent/ representative,recycling plants,Construction Buildings
agent/ representative,red wine,Food Related Products
agent/ representative,removable car radios,Automotive HDV
agent/ representative,renewable energy,Renewable Energy
agent/ representative,representation office,Other Industry
agent/ representative,"representation service, agency",Other Industry
agent/ representative,representative,Food Related Products
agent/ representative,restaurant equipment,Food Related Products
agent/ representative,restaurants machinery,Machinery & Equipment
agent/ representative,retailers hypermarkets supermarket chains hard discount,Retailers hypermarkets supermarket chains hard discount are
agent/ representative,river cruise boats,Shipping
agent/ representative,roller bearings,Construction Residential
agent/ representative,rotary brakes,Construction Residential
agent/ representative,rotary dampers,Construction Residential
agent/ representative,rubber coated parts,Construction Residential
agent/ representative,rubber products for the transport industry,Other Transport
agent/ representative,saffron,Agriculture & Livestock
agent/ representative,sail boat rental,Shipping
agent/ representative,sailboats accessories,Shipping
agent/ representative,sailboats equipment,Shipping
agent/ representative,sale of industrial motor vehicles,Automotive LDV
agent/ representative,sale of speed regulators,Automotive LDV
agent/ representative,sales agent,Food Related Products
agent/ representative,salt,Food Related Products
agent/ representative,scouring agents,Construction Buildings
agent/ representative,seed,Agriculture & Livestock
agent/ representative,selling,Machinery & Equipment
agent/ representative,sheets,Iron & Steel
agent/ representative,"shellfish, tinned",Agriculture & Livestock
agent/ representative,ship equipment,Shipping
agent/ representative,"shippers, river",Shipping
agent/ representative,ships accessories,Shipping
agent/ representative,shock absorbers,Automotive LDV
agent/ representative,"shock absorbers, hydraulic",Construction Residential
agent/ representative,shows organisation,Machinery & Equipment
agent/ representative,silver bars,Other Metals
agent/ representative,soft-close fittings for furniture,Construction Residential
agent/ representative,software - business management,Other Industry
agent/ representative,soil conditioners,Agriculture & Livestock
agent/ representative,solenoid valves,Shipping
agent/ representative,spanish ham,Food Related Products
agent/ representative,spare part,Automotive HDV
agent/ representative,spare parts for diesel engines,Shipping
agent/ representative,spare parts for motorcycle,Automotive LDV
agent/ representative,spices,Food Related Products
agent/ representative,sport articles,Other Transport
agent/ representative,sport equipment,Other Transport
agent/ representative,sports activities,Food Related Products
agent/ representative,sports foods,Food Related Products
agent/ representative,spraying equipment,Machinery & Equipment
agent/ representative,stainless steel drainage systems,Construction Buildings
agent/ representative,stainless steel pits,Iron & Steel
agent/ representative,steel,Iron & Steel
agent/ representative,swimming pool accessories,Construction Residential
agent/ representative,tangerines,Agriculture & Livestock
agent/ representative,tecjet,Automotive LDV
agent/ representative,terra-cotta crockery,Construction Buildings
agent/ representative,test bench,Automotive LDV
agent/ representative,thermometers,Construction Residential
agent/ representative,thermostatic valves,Oil Energy
agent/ representative,tiling,Construction Buildings
agent/ representative,tinned vegetables,Agriculture & Livestock
agent/ representative,torque limiters,Construction Residential
agent/ representative,tour operator,Food Related Products
agent/ representative,trade fair organisation,Machinery & Equipment
agent/ representative,training sessions on regulators,Shipping
agent/ representative,travel agency,Other Transport
agent/ representative,tripe,Food Related Products
agent/ representative,tubes,Iron & Steel
agent/ representative,turning,Construction Residential
agent/ representative,uncut diamonds,A: Other Metals
agent/ representative,used car accessories,Automotive LDV
agent/ representative,valve grinding machines,Automotive LDV
agent/ representative,vegetable trade,Agriculture & Livestock
agent/ representative,vehicle,Automotive HDV
agent/ representative,vehicle hire,Automotive LDV
agent/ representative,vehicle maintenance products,Automotive HDV
agent/ representative,vehicle sales,Automotive LDV
agent/ representative,vehicles - travelling shops,Machinery & Equipment
agent/ representative,vintners,Food Related Products
agent/ representative,virgin olive oil,Food Related Products
agent/ representative,walnut,Food Related Products
agent/ representative,we sell gold,Other Metals
agent/ representative,wholesale food,Food Related Products
agent/ representative,wholesale fresh meats,Food Related Products
agent/ representative,wholesale of frozen fish,Fishing & Forestry
agent/ representative,wholesale wine,Agriculture & Livestock
agent/ representative,wind power generator,Renewable Energy
agent/ representative,wine,Food Related Products
agent/ representative,wine shop,Food Related Products
agent/ representative,wire harness,Automotive LDV
agent/ representative,wood - finished products,Fishing & Forestry
agent/ representative,wood products,Fishing & Forestry
agent/ representative,wooden ball,Fishing & Forestry
agent/ representative,wooden dowels,Fishing & Forestry
agent/ representative,wooden gift box,Fishing & Forestry
agent/ representative,wooden knobs,Fishing & Forestry
agent/ representative,wooden spindle,Fishing & Forestry
agent/ representative,wooden toys,Fishing & Forestry
agent/ representative,wooden turnings,Fishing & Forestry
agent/ representative,wooden utility tool handles,Fishing & Forestry
agent/ representative,yacht rental,Shipping
agent/ representative,yellow corn,Agriculture & Livestock
agent/ representative,zucker,Food Related Products
distributor,100% natural prepared dishes,Food Related Products
distributor,2nd hand machine,Machinery & Equipment
distributor,3d design work,Construction Buildings
distributor,3d printing,Construction Buildings
distributor,5 axis milling,Construction Buildings
distributor,abrasive discs,Other Metals
distributor,absorbents,Other Industry
distributor,ac/dc converter,Total Power
distributor,accelerator masterbatches,Oil Energy
distributor,accessoires moto,Automotive LDV
distributor,accessories,Construction Residential
distributor,accessories for campers,Other Transport
distributor,accessories for composite moulds,Construction Buildings
distributor,accessories for ice-cream shops,Food Related Products
distributor,accessories for industrial equipment,Machinery & Equipment
distributor,accessories for industrial plants,Machinery & Equipment
distributor,accessories for pets,Agriculture & Livestock
distributor,accessories for sailing boats,Shipping
distributor,accessories for vending machines,Food Related Products
distributor,accessories for wall coverings,Construction Buildings
distributor,accessories for watering systems,Agriculture & Livestock
distributor,accessories for weck jars,Food Related Products
distributor,accommodation modules,Construction Residential
distributor,accumulators,Automotive LDV
distributor,acrylic resins,Machinery & Equipment
distributor,adaptable parts for public works machinery,Machinery & Equipment
distributor,adaptable spare parts,Machinery & Equipment
distributor,adhesive tape,Construction Buildings
distributor,advanced liposomal products,Food Related Products
distributor,advertising agencies,Other Industry
distributor,advertising design,Other Industry
distributor,advertising gadgets,Other Industry
distributor,advertising items,Construction Residential
distributor,advertising truck hire,Other Transport
distributor,aeration equipment,Machinery & Equipment
distributor,aerogel,Construction Buildings
distributor,aeronautical equipment manufacturers,Aviation
distributor,aeronautics - equipment,Aviation
distributor,"aeronautics, construction",The tilt_subsector for this combination of main
distributor,"aerospace, construction",The tilt_subsector would be Other Transport
distributor,agave,Food Related Products
distributor,aged cheeses,Food Related Products
distributor,agents,Automotive LDV
distributor,agglomerators,Food Related Products
distributor,agri-food,Food Related Products
distributor,agricultural accessories,Automotive LDV
distributor,agricultural equipment,Machinery & Equipment
distributor,agricultural machinery repair,Machinery & Equipment
distributor,agricultural machines,Machinery & Equipment
distributor,agricultural production,Agriculture & Livestock
distributor,agricultural systems,Agriculture & Livestock
distributor,agricultural twine,Food Related Products
distributor,agriculture,Food Related Products
distributor,agriculture equipment,Machinery & Equipment
distributor,agriculture machinery,Machinery & Equipment
distributor,air bag,Machinery & Equipment
distributor,air compressor,Automotive LDV
distributor,air conditioners for motor vehicles,Automotive LDV
distributor,air conditioning,Automotive LDV
distributor,air conditioning accessories,Construction Residential
distributor,air conditioning equipment,Automotive LDV
distributor,air conditioning works,Renewable Energy
distributor,air filters,Shipping
distributor,air filtration equipment,Machinery & Equipment
distributor,air force,Construction Buildings
distributor,air freight services,Aviation
distributor,air heaters for civil use,Renewable Energy
distributor,air purification equipment,Machinery & Equipment
distributor,air purification systems,Machinery & Equipment
distributor,air purifiers,Machinery & Equipment
distributor,air sports - equipment,Machinery & Equipment
distributor,air treatment equipment,Machinery & Equipment
distributor,air treatment plants,Machinery & Equipment
distributor,air treatment systems,Machinery & Equipment
distributor,air-conditioned chambers for industrial use,Machinery & Equipment
distributor,aircraft accessories,Aviation
distributor,aircraft engines,Aviation
distributor,airline,Aviation
distributor,airport,Aviation
distributor,airports - equipment,Aviation
distributor,airtight packaging with tamper-evident closure,Food Related Products
distributor,alarm system,Construction Residential
distributor,alarms equipment,Machinery & Equipment
distributor,alarms installation,Construction Residential
distributor,alcoholic aperitifs,Food Related Products
distributor,alcoholic beverages,Food Related Products
distributor,alegre,Agriculture & Livestock
distributor,aligners for motor vehicles,Automotive LDV
distributor,all kind of german cars spare parts,Automotive HDV
distributor,almond exporter,Agriculture & Livestock
distributor,aloe vera drinks,Agriculture & Livestock
distributor,alumina,Construction Buildings
distributor,aluminium bands,Other Metals
distributor,aluminium foil,Other Metals
distributor,aluminium for the petrochemical industry,Other Metals
distributor,aluminium foundry,Other Metals
distributor,aluminium granules,Construction Buildings
distributor,aluminium injection,Machinery & Equipment
distributor,aluminium joinery machinery,Machinery & Equipment
distributor,aluminium powder,Construction Buildings
distributor,aluminium tape,Other Metals
distributor,aluminium tube,Machinery & Equipment
distributor,alumninium joinery equipment,Machinery & Equipment
distributor,amino acid,Food Related Products
distributor,ammunition,Other Industry
distributor,angular transmissions,Machinery & Equipment
distributor,animal accessories,Agriculture & Livestock
distributor,animal grooming,Agriculture & Livestock
distributor,animals,Agriculture & Livestock
distributor,annealer rings,Machinery & Equipment
distributor,annealer tubes,Machinery & Equipment
distributor,"anti-corrosion products, chemical",Automotive HDV
distributor,anti-rust,Construction Buildings
distributor,"anti-theft systems, vehicles",Automotive HDV
distributor,antifoaming,Construction Buildings
distributor,antiques,Construction Residential
distributor,aoc olive oils,Food Related Products
distributor,applicators,Construction Buildings
distributor,aqua scooters,Fishing & Forestry
distributor,aquaculture,Fishing & Forestry
distributor,aquarium fish,Fishing & Forestry
distributor,arbequina olive oil,Food Related Products
distributor,arboriculture equipment,Agriculture & Livestock
distributor,arboriculture machines,Agriculture & Livestock
distributor,architects - consultants,Construction Residential
distributor,architectural bricks,Construction Buildings
distributor,architectural tiles,Construction Buildings
distributor,armchair stair lifts,Automotive LDV
distributor,aromatherapy,Food Related Products
distributor,aromatic herbs,Food Related Products
distributor,art,Automotive HDV
distributor,art galleries,The tilt_subsector would be Other Metals
distributor,articles for birds,Agriculture & Livestock
distributor,articles for cats,Agriculture & Livestock
distributor,articles for dogs,Agriculture & Livestock
distributor,articles for fish,Agriculture & Livestock
distributor,articles for plumbing,Construction Residential
distributor,articles made of cellulose,Other Industry
distributor,artificial bamboo,Agriculture & Livestock
distributor,artificial flowers,Other Industry
distributor,artificial fruit,Agriculture & Livestock
distributor,artificial plants,Agriculture & Livestock
distributor,artistic stationery,Other Industry
distributor,asbestos removal,Other Industry
distributor,"assaf sheep, lamb",Agriculture & Livestock
distributor,"assemblies, hydraulic",Automotive LDV
distributor,assembly of steel structural metalwork for construction,Construction Buildings
distributor,attachment screws for fastening guide rails,Machinery & Equipment
distributor,auction room,Fishing & Forestry
distributor,"audio-visual equipment, professional",Machinery & Equipment
distributor,austria,Food Related Products
distributor,authorised dealer,Automotive LDV
distributor,auto accessories,Machinery & Equipment
distributor,auto parts,Automotive HDV
distributor,automatic dispenser,Machinery & Equipment
distributor,automatic measuring systems,Machinery & Equipment
distributor,automatic packaging machinery,Machinery & Equipment
distributor,automation,Construction Residential
distributor,automation equipment,Machinery & Equipment
distributor,automation systems,Machinery & Equipment
distributor,automobile components,Automotive HDV
distributor,automobile dealer,Automotive LDV
distributor,automobile drive shaft balancers,Automotive LDV
distributor,automobile junkyard,Automotive HDV
distributor,automobile signalling,Machinery & Equipment
distributor,automotive,Automotive LDV
distributor,automotive components,Automotive HDV
distributor,automotive parts,Automotive HDV
distributor,auxiliary products,Construction Residential
distributor,axle sealing,Shipping
distributor,"axles, vehicle",Automotive HDV
distributor,ayurveda,Food Related Products
distributor,azo initiators,Construction Buildings
distributor,baby clothes,Food Related Products
distributor,baby club preparation articles,no_match
distributor,baby foods,Food Related Products
distributor,bactericides,Food Related Products
distributor,bag filling equipment,Machinery & Equipment
distributor,bag filling machinery,Machinery & Equipment
distributor,baggers vacuum packers,Machinery & Equipment
distributor,bags,Automotive HDV
distributor,bakery equipment,Machinery & Equipment
distributor,bakery machinery,Machinery & Equipment
distributor,bakery ovens,Food Related Products
distributor,baking moulds,Machinery & Equipment
distributor,balances,Food Related Products
distributor,ball bearing,Machinery & Equipment
distributor,ball valves,Other Industry
distributor,baptism articles,Construction Residential
distributor,bar equipment,Construction Buildings
distributor,bar furnishing,Machinery & Equipment
distributor,barbecue,Construction Buildings
distributor,"barrels, metal",Other Metals
distributor,"barrels, wood",Construction Residential
distributor,bars machinery,Machinery & Equipment
distributor,"bars, ferrous metal",Construction Buildings
distributor,basket lifts,Machinery & Equipment
distributor,bathrooms fittings,Construction Buildings
distributor,bathrooms remodelled,Construction Buildings
distributor,batteries for photovoltaic plants,Renewable Energy
distributor,battery charger,Renewable Energy
distributor,beach maintenance equipment,Machinery & Equipment
distributor,beach maintenance machines,Machinery & Equipment
distributor,beacon,Machinery & Equipment
distributor,"bearings, antifriction",Automotive LDV
distributor,beauty articles,Other Industry
distributor,beauty items,Agriculture & Livestock
distributor,beauty products,The tilt_subsector would be Food Related
distributor,beauty slimming - fitness health,Food Related Products
distributor,bebida aloe vera,Agriculture & Livestock
distributor,beds,Automotive LDV
distributor,bedspreads,Food Related Products
distributor,bedsteads,Automotive LDV
distributor,bee product,Food Related Products
distributor,beef cold cuts,Food Related Products
distributor,beef cutting workshop,Food Related Products
distributor,beekeeping equipment,Agriculture & Livestock
distributor,beekeeping machinery,Agriculture & Livestock
distributor,beekeeping products,Agriculture & Livestock
distributor,beer,Food Related Products
distributor,beer equipment,Food Related Products
distributor,beer taps,Food Related Products
